Alder;Køn;Eksponeringer;CPM (pris pr. 1000 eksponeringer)
45-54;male;14;136,42857143
45-54;female;7;65,71428571
55-64;male;8;138,75
35-44;female;1;40
Unknown;unknown;0;
45-54;male;402;95,02487562
Unknown;unknown;0;
Unknown;unknown;0;
55-64;male;226;121,4159292
55-64;female;162;108,58024691
55-64;male;160;126,5
55-64;female;117;159,31623932
55-64;unknown;6;105
Unknown;unknown;0;
35-44;male;50;63,8
Unknown;unknown;0;
45-54;male;211;72,74881517
45-54;male;48;91,25
45-54;male;652;75,13803681
35-44;male;52;80,38461538
45-54;male;304;122,20394737
55-64;male;353;122,06798867
Unknown;unknown;0;
35-44;male;37;83,51351351
Unknown;unknown;0;
55-64;male;1047;84,61318052
45-54;male;537;106,23836127
45-54;male;11;52,72727273
Unknown;unknown;0;
55-64;male;56;63,21428571
55-64;male;30;92
55-64;female;361;163,01939058
55-64;male;433;135,4965358
Unknown;unknown;0;
Unknown;unknown;0;
55-64;male;500;120,54
55-64;unknown;12;228,33333333
35-44;unknown;1;20
55-64;female;20;106
45-54;female;26;191,15384615
45-54;unknown;2;185
55-64;unknown;3;113,33333333
35-44;female;5;76
45-54;male;593;73,72681282
55-64;unknown;10;64
Unknown;unknown;0;
55-64;male;273;140,76923077
55-64;female;287;110,13937282
35-44;male;21;48,57142857
45-54;male;83;53,01204819
45-54;male;4;22,5
Unknown;unknown;0;
55-64;male;40;61,25
45-54;male;49;79,18367347
45-54;male;6;25
55-64;male;3;30
35-44;male;55;45,27272727
Unknown;unknown;0;
55-64;male;134;72,08955224
45-54;male;304;54,80263158
55-64;male;115;80,17391304
Unknown;unknown;0;
55-64;male;49;78,7755102
45-54;male;46;107,17391304
45-54;male;61;61,63934426
Unknown;unknown;0;
35-44;male;14;35
55-64;male;1160;82,75862069
55-64;male;18;66,11111111
Unknown;unknown;0;
55-64;female;47;50,42553191
Unknown;unknown;0;
35-44;male;3;23,33333333
55-64;male;8;33,75
45-54;male;29;78,62068966
55-64;unknown;1;130
55-64;male;89;76,17977528
55-64;female;50;103,8
Unknown;unknown;0;
55-64;unknown;2;105
55-64;female;32;107,8125
55-64;male;79;79,49367089
45-54;male;33;40,60606061
55-64;male;99;34,84848485
Unknown;unknown;0;
45-54;male;14;36,42857143
Unknown;unknown;0;
55-64;unknown;2;20
55-64;unknown;6;85
55-64;male;182;91,92307692
55-64;male;291;130,13745704
55-64;female;195;133,17948718
55-64;unknown;6;103,33333333
Unknown;unknown;0;
55-64;female;155;88,77419355
Unknown;unknown;0;
55-64;male;28;74,28571429
45-54;male;52;76,92307692
35-44;male;12;43,33333333
55-64;male;48;84,375
35-44;male;2;80
Unknown;unknown;0;
45-54;male;50;36,8
55-64;female;98;112,04081633
35-44;male;11;51,81818182
45-54;male;44;91,81818182
55-64;male;326;82,60736196
45-54;male;3;60
55-64;male;3;136,66666667
Unknown;unknown;0;
35-44;male;190;50
Unknown;unknown;0;
Unknown;unknown;0;
55-64;unknown;7;54,28571429
45-54;male;226;65,57522124
35-44;male;1;50
55-64;male;146;79,24657534
Unknown;unknown;0;
45-54;male;3;60
55-64;male;9;33,33333333
55-64;unknown;4;187,5
Unknown;unknown;0;
55-64;male;284;135,91549296
45-54;male;4;42,5
45-54;male;17;72,94117647
55-64;male;96;54,6875
Unknown;unknown;0;
55-64;unknown;6;26,66666667
55-64;female;195;45,53846154
45-54;male;228;69,29824561
55-64;male;358;49,41340782
Unknown;unknown;0;
55-64;female;122;81,80327869
55-64;male;312;76,76282051
45-54;male;2;15
35-44;male;13;39,23076923
45-54;male;1;20
35-44;male;16;104,375
45-54;male;74;59,18918919
Unknown;unknown;0;
